SCHOOL,PROGRAMME,FEES,LOCATION
ASHESI,COMPUTER ENGINEERING,32739,ACCRA
ASHESI,MECHANICAL ENGINEERING,32739,ACCRA
ASHESI,ELECTRICAL AND ELECTRONIC ENGINERREING,32739,ACCRA
ASHESI,COMPUTER SCIENCE,32739,ACCRA
ASHESI,MANAGEMENT INFORMATION SYSTEM,32739,ACCRA
ASHESI,BUSINESS ADMINISTRATION,32739,ACCRA
UCC,B.A. (African Studies),2832,CAPE COAST
UCC,B.A. (Anthropology),2832,CAPE COAST
UCC,B.A. (Communication Studies),2782,CAPE COAST
UCC,B.A. (Population and Health),2832,CAPE COAST
UCC,B.A. (Social Behaviour and Conflict Management),2832,CAPE COAST
UCC,B.A. (Social Science),2832,CAPE COAST
UCC,B.A. (Theatre Studies),2832,CAPE COAST
UCC,B.A. (Varied Fields),2832,CAPE COAST
UCC,"B.A. (Varied Fields)- According to area of specialization e.g. B.A.(English), B.A. (English and French).",2832,CAPE COAST
UCC,B.A. Dance,2832,CAPE COAST
UCC,B.A. Film Studies,2832,CAPE COAST
UCC,B.Ed. (Accounting),2962,CAPE COAST
UCC,B.Ed. (Arts),2962,CAPE COAST
UCC,B.Ed. (Basic Education),2962,CAPE COAST
UCC,B.Ed. (Computer Science),2962,CAPE COAST
UCC,B.Ed. (Early Childhood Education),2962,CAPE COAST
UCC,B.Ed. (Health Science),2962,CAPE COAST
UCC,"B.Ed. (Health, Physical Education & Recreation)",2962,CAPE COAST
UCC,B.Ed. (Home Economics),2962,CAPE COAST
UCC,B.Ed. (Management),2962,CAPE COAST
UCC,B.Ed. (Mathematics),2962,CAPE COAST
UCC,B.Ed. (Science),3047,CAPE COAST
UCC,B.Ed. (Social Science),2962,CAPE COAST
UCC,B.Ed. (Social Studies),2962,CAPE COAST
UCC,B.Sc. (Actuarial Science),3107,CAPE COAST
UCC,B.Sc. (Agribusiness),3157,CAPE COAST
UCC,B.Sc. (Agricultural Extension & Community Development),3157,CAPE COAST
UCC,B.Sc. (Agricultural Extension),3157,CAPE COAST
UCC,B.Sc. (Agricultural Extension),3157,CAPE COAST
UCC,B.Sc. (Agriculture),3157,CAPE COAST
UCC,B.Sc. (Agro-Processing),3157,CAPE COAST
UCC,B.Sc. (Animal Health),3107,CAPE COAST
UCC,B.Sc. (Biochemistry),3107,CAPE COAST
UCC,B.Sc. (Biomedical Sciences),3187,CAPE COAST
UCC,B.Sc. (Chemistry),3117,CAPE COAST
UCC,B.Sc. (Clinical Nutrition & Dietetics),3357,CAPE COAST
UCC,B.Sc. (Community Mental Health Nursing),3357,CAPE COAST
UCC,B.Sc. (Computer Science),3117,CAPE COAST
UCC,B.Sc. (Diagnostic Imaging Technology),3350,CAPE COAST
UCC,B.Sc. (Diagnostic Medical Sonography),4500,CAPE COAST
UCC,B.Sc. (Engineering Physics),3107,CAPE COAST
UCC,B.Sc. (Entomology & Wildlife),3200,CAPE COAST
UCC,B.Sc. (Environmental Science),3200,CAPE COAST
UCC,B.Sc. (Fisheries & Aquatic Science),3200,CAPE COAST
UCC,B.Sc. (Fisheries & Aquatic Science),3200,CAPE COAST
UCC,B.Sc. (Forensic Science),3957,CAPE COAST
UCC,B.Sc. (Health Information Management),3267,CAPE COAST
UCC,B.Sc. (Hospitality Management),3456,CAPE COAST
UCC,B.Sc. (Industrial Chemistry),3600,CAPE COAST
UCC,B.Sc. (Information Technology),3117,CAPE COAST
UCC,B.Sc. (Laboratory Technology),3117,CAPE COAST
UCC,B.Sc. (Mathematics & Statistic),3117,CAPE COAST
UCC,B.Sc. (Mathematics with Business),3117,CAPE COAST
UCC,B.Sc. (Mathematics with Economics),3117,CAPE COAST
UCC,B.Sc. (Mathematics),3117,CAPE COAST
UCC,B.Sc. (Medical Laboratory Technology),3167,CAPE COAST
UCC,B.Sc. (Mental Health Nursing),3357,CAPE COAST
UCC,B.Sc. (Meteorology & Atmospheric Physics),3107,CAPE COAST
UCC,B.Sc. (Molecular Biology and Biotechnology),3107,CAPE COAST
UCC,B.Sc. (Nursing),3357,CAPE COAST
UCC,B.Sc. (Physician Assistant Studies),5500,CAPE COAST
